"subject","task","congurancy","block","trial","accuracy","rt"
"subj001","word_reading","congruent",1,1,1,736
"subj001","word_reading","congruent",1,2,1,634
"subj001","word_reading","congruent",1,3,1,786
"subj001","ink_naming","incongruent",1,4,1,1265
"subj001","ink_naming","incongruent",1,7,1,1142
"subj001","ink_naming","incongruent",1,8,1,1366
"subj001","word_reading","congruent",1,9,1,728
"subj001","ink_naming","congruent",1,10,1,984
"subj001","word_reading","incongruent",1,11,1,469
"subj001","ink_naming","incongruent",1,12,1,993
"subj001","ink_naming","incongruent",1,13,1,1142
"subj001","ink_naming","incongruent",1,15,1,1178
"subj001","word_reading","congruent",1,16,1,782
"subj001","word_reading","incongruent",1,17,1,701
"subj001","ink_naming","congruent",1,18,1,1121
"subj001","word_reading","congruent",1,19,1,608
"subj001","word_reading","congruent",1,20,1,579
"subj001","ink_naming","congruent",1,21,1,877
"subj001","word_reading","incongruent",1,22,1,794
"subj001","ink_naming","congruent",1,24,0,1079
"subj001","word_reading","congruent",1,26,1,641
"subj001","word_reading","incongruent",1,27,1,683
"subj001","ink_naming","incongruent",1,28,1,965
"subj001","word_reading","congruent",1,29,1,583
"subj001","ink_naming","incongruent",1,30,1,1006
"subj001","ink_naming","congruent",1,31,1,1105
"subj001","ink_naming","incongruent",1,32,1,1090
"subj001","word_reading","congruent",1,33,1,779
"subj001","word_reading","incongruent",1,34,1,872
"subj001","ink_naming","incongruent",1,35,1,1131
"subj001","word_reading","congruent",1,37,1,525
"subj001","word_reading","congruent",1,38,1,618
"subj001","ink_naming","congruent",1,39,1,1006
"subj001","word_reading","incongruent",1,40,1,750
"subj001","word_reading","congruent",1,41,0,624
"subj001","word_reading","incongruent",1,42,1,988
"subj001","ink_naming","incongruent",1,43,1,1104
"subj001","ink_naming","congruent",1,44,1,1006
"subj001","word_reading","congruent",1,45,1,765
"subj001","ink_naming","congruent",1,47,1,936
"subj001","ink_naming","incongruent",1,48,1,1255
"subj001","word_reading","congruent",1,49,1,862
"subj001","word_reading","congruent",1,50,1,697
"subj001","ink_naming","congruent",2,2,1,990
"subj001","word_reading","congruent",2,3,1,802
"subj001","ink_naming","congruent",2,4,1,884
"subj001","word_reading","incongruent",2,6,1,660
"subj001","ink_naming","incongruent",2,7,1,1004
"subj001","ink_naming","congruent",2,8,1,965
"subj001","ink_naming","incongruent",2,9,1,1165
"subj001","ink_naming","congruent",2,10,1,1162
